Phish ID, URL
8325295 , https://www.fdd.org/analysis/2023/10/08/attacks-on-israel-part-of-irans-ring-of-fire-strategy/
8325176 , https://www.fakepersongenerator.com/Index/generate
8323134 , https://training.knowbe4.com/ui/login
8323133 , https://http.www.secure.kb4.io
8318819 , https://www.focus.de/politik/ausland/nach-dem-tod-von-jewgeni-prigoschins-sohn-soll-wagner-fuehrung-uebernehmen-mit-25-jahren_id_217022535.html#amp_tf=Von%20%251%24s&aoh=16963218764824&csi=0&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.focus.de%2Fpolitik%2Fausland%2Fnach-dem-tod-von-jewgeni-prigoschins-sohn-soll-wagner-fuehrung-uebernehmen-mit-25-jahren_id_217022535.html
8318475 , https://www.businessinsider.com/elon-musks-x-most-active-platform-for-russian-disinformation-2023-9?r=US&IR=T
8317918 , https://www.huffingtonpost.fr/environnement/article/au-royaume-uni-le-celebre-arbre-de-sycamore-gap-a-ete-mysterieusement-abattu-dans-la-nuit_223727.html
8316911 , https://yakarandamag.com/fr/autoriser-les-ports-tcp-et-udp-53-a-vos-serveurs-dns/
8316671 , https://itarmy.com.ua/instruction/?lang=en#linux
8313407 , https://www.aseguradorarural.com.gt/aseguradoradnn/
8312288 , https://wiscnews.com/news/local/man-given-25-000-bond-for-assault/article_ee8131f1-2112-5d0e-a658-9054f62461e9.html
8312205 , https://dnevnik.ru
8312089 , https://raw.githubusercontent.com/
8309515 , https://www.icmp.int/news/ukraines-forgotten-missing-and-disappeared/
8309513 , https://missingdoe.com/resources-and-interesting-links/
8309512 , https://missingchildreneurope.eu/get-involved/
8308220 , https://www.dailymail.co.uk/news/article-11559455/The-Twitter-Files-leaks-FBI-key-revelations-far.html/
8308215 , https://www.usatoday.com/story/news/politics/2022/12/03/elon-musk-and-matt-taibbi-release-twitter-docs-hunter-biden-tapes/10826408002/
8308214 , https://eu.usatoday.com/story/news/politics/2022/12/03/elon-musk-and-matt-taibbi-release-twitter-docs-hunter-biden-tapes/10826408002/
8304963 , https://www.exploretalent.com/
